kode,nama,transfer_id,koridor_id,description
K12.01,Pluit,,12,
K12.08,Penjaringan,,12,
K12.02,Pluit Auto Plaza Landmark (Arah Tanjung Priok),,12,
K12.03,Pakin (Arah Tanjung Priok),,12,
K12.04,Gedong Panjang (Arah Tanjung Priok),,12,
K12.07,Bandengan Pekojan (Arah Pluit),,12,
K12.06,Kali Besar Barat (Arah Pluit),,12,
K12.09,Museum Fatahillah (Arah Tanjung Priok),,12,
K12.10,Kota,,12,
K12.11,Mangga Dua Mall,,12,
K12.12,Gunung Sahari Mangga Dua,,12,
K12.13,Jembatan Merah,,12,
K12.14,Kemayoran Landas Pacu Timur,,12,
K12.15,Danau Sunter Barat,,12,
K12.16,Sunter SMP 140,,12,
K12.17,Sunter Karya,,12,
K12.18,Sunter Boulevard Barat,,12,
K12.19,Sunter Kelapa Gading,,12,
K12.20,Plumpang Pertamina,,12,
K12.21,Walikota Jakarta Utara,,12,
K12.22,Permai Koja,,12,
K12.23,Enggano,,12,
K12.24,Tanjung Priok,,12,
